-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::lt         0.00%      65.000us         0.00%     567.000us     567.000us      20.000us         0.00%      20.000us      20.000us           0 b           0 b       3.28 Mb       3.28 Mb             1  
                                   cudaFuncSetAttribute         0.00%     557.000us         0.00%     557.000us       1.170us       1.216ms         0.02%       1.216ms       2.555us           0 b           0 b           0 b           0 b           476  
                                       aten::contiguous         0.00%      97.000us         0.00%     543.000us      45.250us       0.000us         0.00%      34.000us       2.833us           0 b           0 b     252.00 Kb      42.00 Kb            12  
                                            aten::zero_         0.00%     490.000us         0.00%     490.000us      18.846us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            26  
                                            aten::alias         0.00%     488.000us         0.00%     488.000us       2.958us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           165  
                                              aten::sum         0.00%     170.000us         0.00%     418.000us     418.000us       4.000us         0.00%       6.000us       6.000us           0 b           0 b         512 b        -512 b             1  
                                          prims::normal         0.00%     385.000us         0.00%     401.000us     401.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::gelu         0.00%     286.000us         0.00%     393.000us      32.750us      24.000us         0.00%      24.000us       2.000us           0 b           0 b    1008.00 Kb    1008.00 Kb            12  
                                             prims::mul         0.00%     314.000us         0.00%     352.000us     352.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::reciprocal         0.00%     342.000us         0.00%     342.000us      10.688us       0.000us         0.00%       0.000us       0.000us       8.00 Kb       8.00 Kb           0 b           0 b            32  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.00%     333.000us         0.00%     333.000us       1.095us      23.928ms         0.42%      23.928ms      78.711us           0 b           0 b           0 b           0 b           304  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 22.280s
Self CUDA time total: 5.660s
